Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
August-2004,1076.00,1080.00,958.55,987.95,12542527,241123,12450977846.00,3123233,24.90,121.45,-88.05
September-2004,988.50,1056.00,978.25,1027.10,12816574,308335,13008843679.00,2904311,22.66,77.75,38.60
October-2004,1029.80,1198.00,1027.00,1154.35,10924277,288796,12143037094.00,2991349,27.38,171.00,124.55
November-2004,1158.35,1287.00,1142.00,1275.00,5113863,153271,6144482490.00,1427061,27.91,145.00,116.65
December-2004,1280.00,1338.00,1193.00,1335.50,5999763,171169,7519573186.00,1663377,27.72,145.00,55.50
January-2005,1349.80,1367.80,1205.00,1300.65,8757911,220828,11358497887.00,1970049,22.49,162.80,-49.15
February-2005,1305.00,1420.00,1288.00,1380.90,4751835,126613,6429868218.00,1355808,28.53,132.00,75.90
March-2005,1378.00,1475.00,1351.10,1432.75,4209516,109802,5969400779.00,1303129,30.96,123.90,54.75
April-2005,1430.00,1456.00,1091.00,1130.25,9162786,207964,11091703588.00,2640210,28.81,365.00,-299.75
May-2005,1130.00,1343.95,1105.10,1335.20,6011098,127111,7257036657.00,2090697,34.78,238.85,205.20
June-2005,1329.80,1359.00,1260.00,1351.90,5110940,106936,6646799909.00,1649861,32.28,99.00,22.10
July-2005,1350.80,1370.00,1219.10,1269.15,4278707,88728,5545469812.00,1635608,38.23,150.90,-81.65
August-2005,1270.00,1416.00,1240.60,1405.85,4218988,87243,5547330775.00,1680680,39.84,175.40,135.85
September-2005,1404.70,1492.00,1377.00,1481.25,4354534,88588,6276745421.00,1554938,35.71,115.00,76.55
October-2005,1490.00,1505.00,1351.00,1400.25,5456074,101853,7860803142.00,1731760,31.74,154.00,-89.75
November-2005,1411.00,1552.00,1388.35,1519.00,3415004,66229,5144670406.00,1601341,46.89,163.65,108.00
December-2005,1520.00,1750.85,1516.20,1702.45,3433357,90382,5681572609.00,1317832,38.38,234.65,182.45
January-2006,1707.00,1749.00,1603.00,1670.10,2589069,74860,4311629503.00,883841,34.14,146.00,-36.90
February-2006,1671.00,1700.00,1607.00,1694.85,1844645,50438,3046562271.00,806357,43.71,93.00,23.85
March-2006,1690.55,2005.00,1682.10,1914.15,5191253,91489,9558894818.00,3276381,63.11,322.90,223.60
April-2006,1929.00,2099.00,1700.00,1986.50,4561854,151664,8822071205.00,2045479,44.84,399.00,57.50
May-2006,2000.00,2057.00,1710.00,1782.60,2488807,117481,4734513667.00,1209734,48.61,347.00,-217.40
June-2006,1795.00,1839.00,1455.00,1735.65,4559612,209593,7521140124.00,1801681,39.51,384.00,-59.35
July-2006,1749.00,1920.00,900.00,936.00,5217563,272106,9292042878.00,1321789,25.33,1020.00,-813.00
August-2006,901.20,1001.70,901.20,996.05,4103816,112254,3975678270.00,1934223,47.13,100.50,94.85
September-2006,998.00,1058.00,951.00,1021.60,3929762,127954,3983390830.00,1936692,49.28,107.00,23.60
October-2006,1020.00,1175.20,983.00,1084.50,6218785,178526,6652440788.00,2787587,44.83,192.20,64.50
November-2006,1095.00,1197.00,1051.50,1191.85,13192447,139457,14201707008.00,10572583,80.14,145.50,96.85
December-2006,1195.00,1225.00,1090.25,1218.60,3219343,115177,3751647193.00,1397066,43.40,134.75,23.60
January-2007,1250.00,1399.00,1200.00,1278.60,5308656,151227,6910318928.00,2540417,47.85,199.00,28.60
